"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","GDP","TOT","USD_CAP","A","1980",11697.55349,
"CAN","GDP","TOT","USD_CAP","A","1981",13086.821695,
"CAN","GDP","TOT","USD_CAP","A","1982",13293.393286,
"CAN","GDP","TOT","USD_CAP","A","1983",14034.005498,
"CAN","GDP","TOT","USD_CAP","A","1984",15254.727065,
"CAN","GDP","TOT","USD_CAP","A","1985",16332.753021,
"CAN","GDP","TOT","USD_CAP","A","1986",16850.728641,
"CAN","GDP","TOT","USD_CAP","A","1987",17735.380147,
"CAN","GDP","TOT","USD_CAP","A","1988",18923.753758,
"CAN","GDP","TOT","USD_CAP","A","1989",19763.483902,
"CAN","GDP","TOT","USD_CAP","A","1990",20229.752821,
"CAN","GDP","TOT","USD_CAP","A","1991",20224.680598,
"CAN","GDP","TOT","USD_CAP","A","1992",20626.208981,
"CAN","GDP","TOT","USD_CAP","A","1993",21440.052546,
"CAN","GDP","TOT","USD_CAP","A","1994",22632.831273,
"CAN","GDP","TOT","USD_CAP","A","1995",23485.643444,
"CAN","GDP","TOT","USD_CAP","A","1996",24050.176142,
"CAN","GDP","TOT","USD_CAP","A","1997",25259.725362,
"CAN","GDP","TOT","USD_CAP","A","1998",26319.930258,
"CAN","GDP","TOT","USD_CAP","A","1999",27841.629576,
"CAN","GDP","TOT","USD_CAP","A","2000",29362.289573,
"CAN","GDP","TOT","USD_CAP","A","2001",30231.005032,
"CAN","GDP","TOT","USD_CAP","A","2002",30963.222007,
"CAN","GDP","TOT","USD_CAP","A","2003",32350.070882,
"CAN","GDP","TOT","USD_CAP","A","2004",33925.89256,
"CAN","GDP","TOT","USD_CAP","A","2005",36327.662059,
"CAN","GDP","TOT","USD_CAP","A","2006",38120.176792,
"CAN","GDP","TOT","USD_CAP","A","2007",39575.324973,
"CAN","GDP","TOT","USD_CAP","A","2008",40376.330167,
"CAN","GDP","TOT","USD_CAP","A","2009",38865.406022,
"CAN","GDP","TOT","USD_CAP","A","2010",40099.497886,
"CAN","GDP","TOT","USD_CAP","A","2011",41666.718851,
"CAN","GDP","TOT","USD_CAP","A","2012",42290.879082,
"CAN","GDP","TOT","USD_CAP","A","2013",44298.514462,
"CAN","GDP","TOT","USD_CAP","A","2014",45753.782936,
"CAN","GDP","TOT","USD_CAP","A","2015",44670.054374,
"CAN","GDP","TOT","USD_CAP","A","2016",46472.368771,
"CAN","GDP","TOT","USD_CAP","A","2017",48317.191163,
"CAN","GDP","TOT","USD_CAP","A","2018",49892.028612,
"CAN","GDP","TOT","USD_CAP","A","2019",49286.811601,
"CAN","GDP","TOT","USD_CAP","A","2020",46572.141022,
"CAN","GDP","TOT","USD_CAP","A","2021",50722.491679,
"SWE","GDP","TOT","USD_CAP","A","1980",11235.097574,"E"
"SWE","GDP","TOT","USD_CAP","A","1981",12339.266003,"E"
"SWE","GDP","TOT","USD_CAP","A","1982",13257.247018,"E"
"SWE","GDP","TOT","USD_CAP","A","1983",14031.60463,"E"
"SWE","GDP","TOT","USD_CAP","A","1984",15138.165874,"E"
"SWE","GDP","TOT","USD_CAP","A","1985",15929.446608,"E"
"SWE","GDP","TOT","USD_CAP","A","1986",16647.721833,"E"
"SWE","GDP","TOT","USD_CAP","A","1987",17572.747784,"E"
"SWE","GDP","TOT","USD_CAP","A","1988",18574.122632,"E"
"SWE","GDP","TOT","USD_CAP","A","1989",19681.746811,"E"
"SWE","GDP","TOT","USD_CAP","A","1990",20413.953629,"E"
"SWE","GDP","TOT","USD_CAP","A","1991",20722.032096,"E"
"SWE","GDP","TOT","USD_CAP","A","1992",20825.457414,"E"
"SWE","GDP","TOT","USD_CAP","A","1993",20757.312154,
"SWE","GDP","TOT","USD_CAP","A","1994",21877.915533,
"SWE","GDP","TOT","USD_CAP","A","1995",23094.15369,
"SWE","GDP","TOT","USD_CAP","A","1996",23927.51014,
"SWE","GDP","TOT","USD_CAP","A","1997",24805.716833,
"SWE","GDP","TOT","USD_CAP","A","1998",25887.761442,
"SWE","GDP","TOT","USD_CAP","A","1999",27471.476497,
"SWE","GDP","TOT","USD_CAP","A","2000",29618.30891,
"SWE","GDP","TOT","USD_CAP","A","2001",29927.464323,
"SWE","GDP","TOT","USD_CAP","A","2002",30926.361002,
"SWE","GDP","TOT","USD_CAP","A","2003",31814.965825,
"SWE","GDP","TOT","USD_CAP","A","2004",33858.728495,
"SWE","GDP","TOT","USD_CAP","A","2005",34244.359285,
"SWE","GDP","TOT","USD_CAP","A","2006",37730.182732,
"SWE","GDP","TOT","USD_CAP","A","2007",40905.110734,
"SWE","GDP","TOT","USD_CAP","A","2008",42158.465614,
"SWE","GDP","TOT","USD_CAP","A","2009",40279.526697,
"SWE","GDP","TOT","USD_CAP","A","2010",42224.035942,
"SWE","GDP","TOT","USD_CAP","A","2011",44608.643898,
"SWE","GDP","TOT","USD_CAP","A","2012",45432.306926,
"SWE","GDP","TOT","USD_CAP","A","2013",46312.293685,
"SWE","GDP","TOT","USD_CAP","A","2014",47184.719403,
"SWE","GDP","TOT","USD_CAP","A","2015",49103.0618,
"SWE","GDP","TOT","USD_CAP","A","2016",50430.174559,
"SWE","GDP","TOT","USD_CAP","A","2017",51947.942867,
"SWE","GDP","TOT","USD_CAP","A","2018",53521.635778,
"SWE","GDP","TOT","USD_CAP","A","2019",54598.781841,
"SWE","GDP","TOT","USD_CAP","A","2020",55064.882335,
"SWE","GDP","TOT","USD_CAP","A","2021",59575.996933,
"OECD","GDP","TOT","USD_CAP","A","1980",8715.447442,"E"
"OECD","GDP","TOT","USD_CAP","A","1981",9671.64003,"E"
"OECD","GDP","TOT","USD_CAP","A","1982",10196.412609,"E"
"OECD","GDP","TOT","USD_CAP","A","1983",10824.913854,"E"
"OECD","GDP","TOT","USD_CAP","A","1984",11657.047475,"E"
"OECD","GDP","TOT","USD_CAP","A","1985",12379.030686,"E"
"OECD","GDP","TOT","USD_CAP","A","1986",12905.276967,"E"
"OECD","GDP","TOT","USD_CAP","A","1987",13611.920738,"E"
"OECD","GDP","TOT","USD_CAP","A","1988",14618.249356,"E"
"OECD","GDP","TOT","USD_CAP","A","1989",15634.370567,"E"
"OECD","GDP","TOT","USD_CAP","A","1990",16566.703336,"E"
"OECD","GDP","TOT","USD_CAP","A","1991",17227.719953,"E"
"OECD","GDP","TOT","USD_CAP","A","1992",17864.024334,"E"
"OECD","GDP","TOT","USD_CAP","A","1993",18395.54435,"E"
"OECD","GDP","TOT","USD_CAP","A","1994",19161.763637,"E"
"OECD","GDP","TOT","USD_CAP","A","1995",19911.812359,"E"
"OECD","GDP","TOT","USD_CAP","A","1996",20793.58981,"E"
"OECD","GDP","TOT","USD_CAP","A","1997",21743.591895,"E"
"OECD","GDP","TOT","USD_CAP","A","1998",22332.37832,"E"
"OECD","GDP","TOT","USD_CAP","A","1999",23208.428856,"E"
"OECD","GDP","TOT","USD_CAP","A","2000",24635.022853,"E"
"OECD","GDP","TOT","USD_CAP","A","2001",25413.762478,"E"
"OECD","GDP","TOT","USD_CAP","A","2002",26205.96799,"E"
"OECD","GDP","TOT","USD_CAP","A","2003",26996.365697,"E"
"OECD","GDP","TOT","USD_CAP","A","2004",28438.485846,"E"
"OECD","GDP","TOT","USD_CAP","A","2005",29787.698134,
"OECD","GDP","TOT","USD_CAP","A","2006",31783.114368,
"OECD","GDP","TOT","USD_CAP","A","2007",33331.226303,
"OECD","GDP","TOT","USD_CAP","A","2008",34192.780535,"B"
"OECD","GDP","TOT","USD_CAP","A","2009",33234.979831,
"OECD","GDP","TOT","USD_CAP","A","2010",34538.529273,"B"
"OECD","GDP","TOT","USD_CAP","A","2011",35919.590139,
"OECD","GDP","TOT","USD_CAP","A","2012",36880.873701,
"OECD","GDP","TOT","USD_CAP","A","2013",38229.248208,
"OECD","GDP","TOT","USD_CAP","A","2014",39342.260395,
"OECD","GDP","TOT","USD_CAP","A","2015",40467.817726,
"OECD","GDP","TOT","USD_CAP","A","2016",41885.947931,
"OECD","GDP","TOT","USD_CAP","A","2017",43486.542101,
"OECD","GDP","TOT","USD_CAP","A","2018",45189.970687,"E"
"OECD","GDP","TOT","USD_CAP","A","2019",46113.931759,"E"
"OECD","GDP","TOT","USD_CAP","A","2020",45026.609206,"E"
