location,indicator,subject,measure,frequency,time,value,Flag Codes
CAN,GDP,TOT,USD_CAP,A,1980,11697.55349,
CAN,GDP,TOT,USD_CAP,A,1981,13086.8217,
CAN,GDP,TOT,USD_CAP,A,1982,13293.39329,
CAN,GDP,TOT,USD_CAP,A,1983,14034.0055,
CAN,GDP,TOT,USD_CAP,A,1984,15254.72707,
CAN,GDP,TOT,USD_CAP,A,1985,16332.75302,
CAN,GDP,TOT,USD_CAP,A,1986,16850.72864,
CAN,GDP,TOT,USD_CAP,A,1987,17735.38015,
CAN,GDP,TOT,USD_CAP,A,1988,18923.75376,
CAN,GDP,TOT,USD_CAP,A,1989,19763.4839,
CAN,GDP,TOT,USD_CAP,A,1990,20229.75282,
CAN,GDP,TOT,USD_CAP,A,1991,20224.6806,
CAN,GDP,TOT,USD_CAP,A,1992,20626.20898,
CAN,GDP,TOT,USD_CAP,A,1993,21440.05255,
CAN,GDP,TOT,USD_CAP,A,1994,22632.83127,
CAN,GDP,TOT,USD_CAP,A,1995,23485.64344,
CAN,GDP,TOT,USD_CAP,A,1996,24050.17614,
CAN,GDP,TOT,USD_CAP,A,1997,25259.72536,
CAN,GDP,TOT,USD_CAP,A,1998,26319.93026,
CAN,GDP,TOT,USD_CAP,A,1999,27841.62958,
CAN,GDP,TOT,USD_CAP,A,2000,29362.28957,
CAN,GDP,TOT,USD_CAP,A,2001,30231.00503,
CAN,GDP,TOT,USD_CAP,A,2002,30963.22201,
CAN,GDP,TOT,USD_CAP,A,2003,32350.07088,
CAN,GDP,TOT,USD_CAP,A,2004,33925.89256,
CAN,GDP,TOT,USD_CAP,A,2005,36327.66206,
CAN,GDP,TOT,USD_CAP,A,2006,38120.17679,
CAN,GDP,TOT,USD_CAP,A,2007,39575.32497,
CAN,GDP,TOT,USD_CAP,A,2008,40376.33017,
CAN,GDP,TOT,USD_CAP,A,2009,38865.40602,
CAN,GDP,TOT,USD_CAP,A,2010,40099.49789,
CAN,GDP,TOT,USD_CAP,A,2011,41666.71885,
CAN,GDP,TOT,USD_CAP,A,2012,42290.87908,
CAN,GDP,TOT,USD_CAP,A,2013,44298.51446,
CAN,GDP,TOT,USD_CAP,A,2014,45753.78294,
CAN,GDP,TOT,USD_CAP,A,2015,44670.05437,
CAN,GDP,TOT,USD_CAP,A,2016,46472.36877,
CAN,GDP,TOT,USD_CAP,A,2017,48317.19116,
CAN,GDP,TOT,USD_CAP,A,2018,49892.02861,
CAN,GDP,TOT,USD_CAP,A,2019,49286.8116,
CAN,GDP,TOT,USD_CAP,A,2020,46572.14102,
CAN,GDP,TOT,USD_CAP,A,2021,50722.49168,
SWE,GDP,TOT,USD_CAP,A,1980,11235.09757,E
SWE,GDP,TOT,USD_CAP,A,1981,12339.266,E
SWE,GDP,TOT,USD_CAP,A,1982,13257.24702,E
SWE,GDP,TOT,USD_CAP,A,1983,14031.60463,E
SWE,GDP,TOT,USD_CAP,A,1984,15138.16587,E
SWE,GDP,TOT,USD_CAP,A,1985,15929.44661,E
SWE,GDP,TOT,USD_CAP,A,1986,16647.72183,E
SWE,GDP,TOT,USD_CAP,A,1987,17572.74778,E
SWE,GDP,TOT,USD_CAP,A,1988,18574.12263,E
SWE,GDP,TOT,USD_CAP,A,1989,19681.74681,E
SWE,GDP,TOT,USD_CAP,A,1990,20413.95363,E
SWE,GDP,TOT,USD_CAP,A,1991,20722.0321,E
SWE,GDP,TOT,USD_CAP,A,1992,20825.45741,E
SWE,GDP,TOT,USD_CAP,A,1993,20757.31215,
SWE,GDP,TOT,USD_CAP,A,1994,21877.91553,
SWE,GDP,TOT,USD_CAP,A,1995,23094.15369,
SWE,GDP,TOT,USD_CAP,A,1996,23927.51014,
SWE,GDP,TOT,USD_CAP,A,1997,24805.71683,
SWE,GDP,TOT,USD_CAP,A,1998,25887.76144,
SWE,GDP,TOT,USD_CAP,A,1999,27471.4765,
SWE,GDP,TOT,USD_CAP,A,2000,29618.30891,
SWE,GDP,TOT,USD_CAP,A,2001,29927.46432,
SWE,GDP,TOT,USD_CAP,A,2002,30926.361,
SWE,GDP,TOT,USD_CAP,A,2003,31814.96583,
SWE,GDP,TOT,USD_CAP,A,2004,33858.7285,
SWE,GDP,TOT,USD_CAP,A,2005,34244.35929,
SWE,GDP,TOT,USD_CAP,A,2006,37730.18273,
SWE,GDP,TOT,USD_CAP,A,2007,40905.11073,
SWE,GDP,TOT,USD_CAP,A,2008,42158.46561,
SWE,GDP,TOT,USD_CAP,A,2009,40279.5267,
SWE,GDP,TOT,USD_CAP,A,2010,42224.03594,
SWE,GDP,TOT,USD_CAP,A,2011,44608.6439,
SWE,GDP,TOT,USD_CAP,A,2012,45432.30693,
SWE,GDP,TOT,USD_CAP,A,2013,46312.29369,
SWE,GDP,TOT,USD_CAP,A,2014,47184.7194,
SWE,GDP,TOT,USD_CAP,A,2015,49103.0618,
SWE,GDP,TOT,USD_CAP,A,2016,50430.17456,
SWE,GDP,TOT,USD_CAP,A,2017,51947.94287,
SWE,GDP,TOT,USD_CAP,A,2018,53521.63578,
SWE,GDP,TOT,USD_CAP,A,2019,54598.78184,
SWE,GDP,TOT,USD_CAP,A,2020,55064.88234,
SWE,GDP,TOT,USD_CAP,A,2021,59575.99693,
OECD,GDP,TOT,USD_CAP,A,1980,8715.447442,E
OECD,GDP,TOT,USD_CAP,A,1981,9671.64003,E
OECD,GDP,TOT,USD_CAP,A,1982,10196.41261,E
OECD,GDP,TOT,USD_CAP,A,1983,10824.91385,E
OECD,GDP,TOT,USD_CAP,A,1984,11657.04748,E
OECD,GDP,TOT,USD_CAP,A,1985,12379.03069,E
OECD,GDP,TOT,USD_CAP,A,1986,12905.27697,E
OECD,GDP,TOT,USD_CAP,A,1987,13611.92074,E
OECD,GDP,TOT,USD_CAP,A,1988,14618.24936,E
OECD,GDP,TOT,USD_CAP,A,1989,15634.37057,E
OECD,GDP,TOT,USD_CAP,A,1990,16566.70334,E
OECD,GDP,TOT,USD_CAP,A,1991,17227.71995,E
OECD,GDP,TOT,USD_CAP,A,1992,17864.02433,E
OECD,GDP,TOT,USD_CAP,A,1993,18395.54435,E
OECD,GDP,TOT,USD_CAP,A,1994,19161.76364,E
OECD,GDP,TOT,USD_CAP,A,1995,19911.81236,E
OECD,GDP,TOT,USD_CAP,A,1996,20793.58981,E
OECD,GDP,TOT,USD_CAP,A,1997,21743.5919,E
OECD,GDP,TOT,USD_CAP,A,1998,22332.37832,E
OECD,GDP,TOT,USD_CAP,A,1999,23208.42886,E
OECD,GDP,TOT,USD_CAP,A,2000,24635.02285,E
OECD,GDP,TOT,USD_CAP,A,2001,25413.76248,E
OECD,GDP,TOT,USD_CAP,A,2002,26205.96799,E
OECD,GDP,TOT,USD_CAP,A,2003,26996.3657,E
OECD,GDP,TOT,USD_CAP,A,2004,28438.48585,E
OECD,GDP,TOT,USD_CAP,A,2005,29787.69813,
OECD,GDP,TOT,USD_CAP,A,2006,31783.11437,
OECD,GDP,TOT,USD_CAP,A,2007,33331.2263,
OECD,GDP,TOT,USD_CAP,A,2008,34192.78054,B
OECD,GDP,TOT,USD_CAP,A,2009,33234.97983,
OECD,GDP,TOT,USD_CAP,A,2010,34538.52927,B
OECD,GDP,TOT,USD_CAP,A,2011,35919.59014,
OECD,GDP,TOT,USD_CAP,A,2012,36880.8737,
OECD,GDP,TOT,USD_CAP,A,2013,38229.24821,
OECD,GDP,TOT,USD_CAP,A,2014,39342.2604,
OECD,GDP,TOT,USD_CAP,A,2015,40467.81773,
OECD,GDP,TOT,USD_CAP,A,2016,41885.94793,
OECD,GDP,TOT,USD_CAP,A,2017,43486.5421,
OECD,GDP,TOT,USD_CAP,A,2018,45189.97069,E
OECD,GDP,TOT,USD_CAP,A,2019,46113.93176,E
OECD,GDP,TOT,USD_CAP,A,2020,45026.60921,E
